,Open,High,Low,Close,Volume
1999-11-07,81.26,83.874,80.06,82.26,3218160.0
1999-11-14,90.78,94.02000000000001,88.022,92.06,5155240.0
1999-11-21,90.174,92.672,88.7,90.588,2742200.0
1999-11-28,92.8125,94.375,90.89,93.295,2439400.0
1999-12-05,101.736,106.83600000000001,100.86,104.13600000000001,5609260.0
1999-12-12,112.73600000000002,114.686,106.96199999999999,110.424,5030560.0
1999-12-19,98.576,99.974,95.45,97.836,4549360.0
1999-12-26,100.6075,102.8725,98.5925,100.985,2562925.0
2000-01-02,100.686,102.648,97.774,100.262,1913260.0
2000-01-09,103.898,108.33600000000001,99.276,102.58800000000001,5455720.0
2000-01-16,97.48400000000001,99.624,92.724,94.976,5974540.0
2000-01-23,109.0925,112.625,106.875,108.8275,7553300.0
2000-01-30,108.08800000000001,112.78600000000002,104.97200000000001,108.06199999999998,3694060.0
2000-02-06,102.0,105.048,99.074,102.824,4257900.0
2000-02-13,112.522,115.096,109.576,112.75999999999999,2971980.0
2000-02-20,114.424,116.96,111.98400000000001,115.00999999999999,3132980.0
2000-02-27,113.8675,118.015,109.89,113.9075,3395025.0
2000-03-05,118.822,124.096,116.024,121.63600000000001,4301640.0
2000-03-12,123.574,126.69000000000001,120.78600000000002,123.71199999999999,2285940.0
2000-03-19,119.27799999999999,123.6,116.348,119.674,3320160.0
2000-03-26,132.656,140.34,130.20999999999998,136.426,4118380.0
2000-04-02,135.052,140.226,131.856,135.238,2751820.0
2000-04-09,130.496,134.352,123.78800000000001,129.58800000000002,3479680.0
2000-04-16,119.0,122.924,113.03600000000002,115.874,5165480.0
2000-04-23,120.72,126.4525,116.31,122.6825,4559725.0
2000-04-30,121.60999999999999,126.35,118.94000000000001,124.186,3175640.0
2000-05-07,118.598,120.524,114.454,116.21,2921460.0
2000-05-14,106.766,108.93800000000002,103.478,105.05999999999999,3310340.0
2000-05-21,103.69000000000001,105.0,99.446,100.562,4699860.0
2000-05-28,89.388,91.88,85.174,87.416,4534740.0
2000-06-04,87.4975,92.17,83.7325,88.31,6346550.0
2000-06-11,94.654,97.088,91.822,94.26,2994740.0
2000-06-18,93.4,94.9,89.44800000000001,91.938,2627460.0
2000-06-25,69.81800000000001,74.202,68.572,71.788,4876340.0
2000-07-02,53.092000000000006,54.902,51.602,52.79,4292900.0
2000-07-09,52.6175,54.3125,51.160000000000004,52.7975,4058900.0
2000-07-16,56.970000000000006,59.214,55.44,57.428,5775220.0
2000-07-23,56.260000000000005,57.438,54.565999999999995,55.388,6064600.0
2000-07-30,50.998000000000005,52.102,48.513999999999996,49.824,4882600.0
2000-08-06,48.7,50.408,47.15,48.55,3778420.0
2000-08-13,47.758,48.388,46.738,47.488,4405120.0
2000-08-20,48.29600000000001,49.775999999999996,47.562,48.738,3127180.0
2000-08-27,52.70399999999999,54.65,52.16600000000001,53.884,4619140.0
2000-09-03,58.882000000000005,60.714,58.70399999999999,60.226,5671060.0
2000-09-10,61.2,62.6725,59.1875,60.44,4763525.0
2000-09-17,57.818000000000005,59.552,56.588,57.25599999999999,5365820.0
2000-09-24,56.644000000000005,58.952,55.486000000000004,58.105999999999995,7716520.0
2000-10-01,47.062,49.162,45.038,46.626,34035620.0
2000-10-08,24.038,24.588,22.112000000000002,22.886000000000003,26480700.0
2000-10-15,20.984,21.848000000000003,20.048000000000002,20.86,17592520.0
2000-10-22,20.332,21.286,19.412,20.036,16264820.0
2000-10-29,19.54,19.736,18.412,18.96,12450240.0
2000-11-05,20.486,21.3,20.088,20.785999999999998,11453400.0
2000-11-12,20.908,21.248,19.922,20.412,7202200.0
2000-11-19,19.482,19.95,18.836000000000002,19.398000000000003,6459740.0
2000-11-26,18.8625,19.405,18.545,18.89,5140550.0
2000-12-03,18.068,18.35,17.324,17.568,7912040.0
2000-12-10,15.602,15.964000000000002,15.05,15.474,11444660.0
2000-12-17,15.118,15.376,14.64,14.813999999999998,6574720.0
2000-12-24,14.219999999999999,14.902000000000001,13.916,14.338,6964440.0
2000-12-31,14.5725,14.9375,14.3125,14.7975,6597300.0
2001-01-07,16.115000000000002,16.9525,15.4675,16.17,10808650.0
2001-01-14,16.912,17.624000000000002,16.374,17.1,9894720.0
2001-01-21,18.0625,18.53,17.4525,18.03,14065475.0
2001-01-28,19.81,20.324,19.174,19.95,11030280.0
2001-02-04,20.886000000000003,21.938,20.574,21.360000000000003,10984620.0
2001-02-11,20.476,20.938,19.688,20.386000000000003,8346160.0
2001-02-18,19.375999999999998,20.024,18.95,19.474,4984420.0
2001-02-25,18.78,19.405,18.1725,18.7,6388300.0
2001-03-04,18.766,19.552,18.162,19.024,6428040.0
2001-03-11,20.542,21.198,20.226,20.836000000000002,7069680.0
2001-03-18,19.386000000000003,20.322,18.662,19.586000000000002,8256280.0
2001-03-25,20.536,21.548000000000002,20.15,20.998,10338500.0
2001-04-01,22.294,23.094,21.474,22.284,10272680.0
2001-04-08,20.922,21.57,20.035999999999998,20.558,7738340.0
2001-04-15,21.497500000000002,22.515,20.8175,21.7,6057975.0
2001-04-22,23.068,23.814,21.948,23.078,16565500.0
2001-04-29,24.65,25.4,24.102,24.778,8936260.0
2001-05-06,25.732,26.484,24.904000000000003,25.744,6689820.0
2001-05-13,24.466,24.75,23.634,23.872,5031780.0
2001-05-20,23.422,24.330000000000002,23.002000000000002,23.53,4856240.0
2001-05-27,23.574,23.676,22.886000000000003,23.25,5662340.0
2001-06-03,20.7525,21.1475,19.895,20.5225,9785875.0
2001-06-10,21.034,21.298,20.46,21.062,5873920.0
2001-06-17,20.476,20.938,19.778,20.228,6647340.0
2001-06-24,21.058,22.02,20.57,21.387999999999998,6164200.0
2001-07-01,23.276,24.156,22.82,23.574,6965220.0
2001-07-08,23.3775,23.785,22.8425,23.240000000000002,3561625.0
2001-07-15,22.7,23.688,22.131999999999998,23.118000000000002,8117100.0
2001-07-22,22.314,22.916,21.316,21.958000000000002,12032980.0
2001-07-29,19.166,19.554000000000002,18.512,18.93,6203180.0
2001-08-05,19.387999999999998,19.666,18.846,19.22,4359520.0
2001-08-12,19.125999999999998,19.5,18.766,19.07,3328560.0
2001-08-19,18.666,18.966,18.318,18.596,4152660.0
2001-08-26,18.084,18.316,17.669999999999998,18.125999999999998,3997820.0
2001-09-02,18.282,18.81,17.863999999999997,18.306,4189100.0
2001-09-09,18.16,18.765,17.7875,17.95,5502100.0
2001-09-16,17.0,17.5,16.92,17.37,5515100.0
2001-09-23,16.098,17.018,15.536000000000001,16.34,7643280.0
2001-09-30,15.803999999999998,16.122,15.363999999999999,15.632,6607460.0
2001-10-07,15.324000000000002,15.916,14.984,15.518,6681940.0
2001-10-14,16.39,17.044,16.157999999999998,16.954,4684800.0
2001-10-21,17.922,18.324,17.57,17.857999999999997,5666440.0
2001-10-28,18.538,19.216,18.098000000000003,18.794,7090220.0
2001-11-04,17.97,18.542,17.502000000000002,17.990000000000002,4642480.0
2001-11-11,19.098000000000003,19.628,18.718,19.130000000000003,5040140.0
2001-11-18,19.21,19.53,18.69,19.23,3896480.0
2001-11-25,19.535,20.0,19.3225,19.7625,3887325.0
2001-12-02,20.612000000000002,21.284,20.246000000000002,20.924,5309040.0
2001-12-09,22.082,22.816,21.526,22.506,5973620.0
2001-12-16,21.81,22.028,21.144,21.44,3413120.0
2001-12-23,20.856,21.404,20.46,20.984,4200380.0
2001-12-30,21.45,22.25,21.395,21.8375,3069925.0
2002-01-06,22.9125,23.415,22.3875,23.1175,7541350.0
2002-01-13,22.375999999999998,22.657999999999998,21.470000000000002,21.887999999999998,7228560.0
2002-01-20,21.542,21.982,21.288,21.656,8116420.0
2002-01-27,22.7775,23.085,22.2425,22.825,5805850.0
2002-02-03,23.762,24.184,23.392000000000003,23.912,6303920.0
2002-02-10,24.816,25.482,24.176,24.76,8142860.0
2002-02-17,24.669999999999998,25.098,24.214,24.64,5200400.0
