,Open,High,Low,Close,Volume
2024-11-22,24.37,24.76,24.32,24.67,3578296.0
2024-11-21,25.06,25.16,24.81,24.89,4662107.0
2024-11-20,24.27,24.58,24.23,24.55,4991078.0
2024-11-19,23.6,23.97,23.55,23.67,3431500.0
2024-11-18,24.17,24.39,24.1,24.22,3141965.0
2024-11-15,23.71,24.35,23.606,23.96,6133250.0
2024-11-14,23.62,23.82,23.5,23.69,9806737.0
2024-11-13,22.53,22.805,22.305,22.67,3444577.0
2024-11-12,22.7,22.7,22.415,22.52,3741541.0
2024-11-11,22.73,22.975,22.66,22.81,4708723.0
2024-11-08,22.92,22.94,22.575,22.78,4364932.0
2024-11-07,22.99,23.08,22.74,22.84,6346682.0
2024-11-06,22.42,22.74,22.15,22.46,7859849.0
2024-11-05,23.68,23.74,23.59,23.61,4484388.0
2024-11-04,23.79,23.93,23.445,23.56,5604314.0
2024-11-01,23.91,23.91,23.24,23.28,6564539.0
2024-10-31,24.11,24.2,23.36,23.48,9340978.0
2024-10-30,24.68,24.785,24.52,24.58,3257662.0
2024-10-29,24.93,24.93,24.66,24.75,3342638.0
2024-10-28,24.64,24.87,24.59,24.68,3620786.0
2024-10-25,25.83,25.87,25.465,25.48,5199431.0
2024-10-24,24.84,25.11,24.79,25.09,3367349.0
2024-10-23,24.1,24.37,24.01,24.21,3232740.0
2024-10-22,24.45,24.72,24.42,24.57,3248438.0
2024-10-21,24.6,24.705,24.255,24.33,2672358.0
2024-10-18,24.35,24.38,23.95,24.15,2989867.0
2024-10-17,24.2,24.41,24.15,24.32,2715338.0
2024-10-16,24.49,24.5865,24.18,24.19,2744879.0
2024-10-15,24.76,24.79,24.4111,24.42,2701251.0
2024-10-14,25.5,25.7,25.38,25.66,3338621.0
2024-10-11,25.55,25.645,25.495,25.54,1553425.0
2024-10-10,25.29,25.5,25.14,25.42,3672820.0
2024-10-09,24.87,24.98,24.75,24.88,4686891.0
2024-10-08,25.75,25.8,25.265,25.38,4839498.0
2024-10-07,26.02,26.36,25.87,26.3,6989157.0
2024-10-04,26.8,27.13,26.61,27.12,3761163.0
2024-10-03,26.41,26.775,26.29,26.75,3218295.0
2024-10-02,26.57,26.78,26.265,26.59,4342068.0
2024-10-01,25.05,26.125,25.035,25.99,4818936.0
2024-09-30,25.16,25.435,25.04,25.33,3011060.0
2024-09-27,24.89,25.12,24.815,24.99,3225028.0
2024-09-26,24.24,24.33,24.02,24.19,4844994.0
2024-09-25,25.16,25.18,24.77,24.8,4289132.0
2024-09-24,25.75,25.75,25.305,25.4,2420003.0
2024-09-23,25.05,25.52,24.99,25.26,2459361.0
2024-09-20,24.72,24.94,24.59,24.86,4666602.0
2024-09-19,25.45,25.49,24.75,24.86,6365095.0
2024-09-18,25.09,25.37,24.9301,25.12,2698198.0
2024-09-17,25.01,25.25,24.905,24.95,3522658.0
