,Open,High,Low,Close,Volume
1999-11-07,95.662,95.788,92.75,93.548,12292300.0
1999-11-14,94.736,96.05,92.922,95.086,8713940.0
1999-11-21,95.69800000000001,97.922,94.284,96.874,12310160.0
1999-11-28,106.3125,107.3275,104.0925,105.8575,9291400.0
1999-12-05,104.888,106.612,103.80999999999999,105.56199999999998,7534000.0
1999-12-12,115.674,118.15,112.65,114.654,11725200.0
1999-12-19,108.95,110.326,106.46,109.02799999999999,7762020.0
1999-12-26,109.1375,110.3275,108.0,108.985,4536025.0
2000-01-02,109.71399999999998,110.25,108.22200000000001,109.03600000000002,3362500.0
2000-01-09,114.926,117.426,111.796,114.31199999999998,10227460.0
2000-01-16,119.124,121.35999999999999,116.69800000000001,118.874,8532780.0
2000-01-23,120.03,122.375,116.6575,118.9375,10482625.0
2000-01-30,117.686,118.98800000000001,114.048,116.48600000000002,6665040.0
2000-02-06,113.78600000000002,115.6,111.596,113.69800000000001,6566840.0
2000-02-13,117.73800000000001,118.83600000000001,115.548,116.958,5362900.0
2000-02-20,116.024,117.186,114.174,115.63600000000001,5319860.0
2000-02-27,110.295,111.2025,107.595,109.5625,8628575.0
2000-03-05,103.98600000000002,106.6,102.1,103.724,10225660.0
2000-03-12,106.612,108.374,102.91199999999999,105.112,8517240.0
2000-03-19,107.3,109.75,106.30999999999999,108.46199999999999,7398080.0
2000-03-26,113.71,116.30999999999999,112.48600000000002,115.274,7618180.0
2000-04-02,122.91,124.888,120.186,121.898,8899600.0
2000-04-09,121.8,125.75,119.674,122.81199999999998,9468800.0
2000-04-16,117.66,118.73400000000001,112.78600000000002,114.172,8429920.0
2000-04-23,107.7175,110.5925,104.56,108.0925,10870700.0
2000-04-30,108.5,111.98800000000001,107.1,110.324,7097680.0
2000-05-07,109.94800000000001,111.348,108.276,109.396,4430260.0
2000-05-14,106.362,107.98600000000002,104.874,106.126,6682080.0
2000-05-21,105.75999999999999,107.55999999999999,104.56199999999998,106.71199999999999,5938900.0
2000-05-28,107.5,109.73800000000001,105.13600000000001,107.936,6239400.0
2000-06-04,108.7025,110.11,107.0,108.265,4633950.0
2000-06-11,114.48600000000002,118.724,113.51199999999999,117.124,7566200.0
2000-06-18,117.83400000000002,119.41399999999999,116.042,116.84200000000001,5272800.0
2000-06-25,115.33600000000001,116.98600000000002,112.83600000000001,114.98400000000001,5572800.0
2000-07-02,111.81199999999998,114.26199999999999,110.03400000000002,112.3,6594300.0
2000-07-09,105.515,106.4175,102.7625,105.2025,9652100.0
2000-07-16,104.064,105.124,102.322,103.574,5014440.0
2000-07-23,107.98600000000002,111.398,106.66199999999999,109.91199999999999,10576320.0
2000-07-30,111.872,113.072,109.78400000000002,111.298,5690940.0
2000-08-06,112.5,114.8,111.53600000000002,113.774,4803160.0
2000-08-13,117.96199999999999,120.298,117.436,118.85999999999999,5971860.0
2000-08-20,121.048,123.08600000000001,119.83600000000001,122.112,4747880.0
2000-08-27,121.974,124.69000000000001,121.574,123.974,4904420.0
2000-09-03,131.414,133.61399999999998,130.914,132.068,6150240.0
2000-09-10,132.01749999999998,133.9075,130.6125,131.3775,5050400.0
2000-09-17,126.122,128.074,124.298,125.81199999999998,5600040.0
2000-09-24,123.976,125.96199999999999,122.08600000000001,123.66199999999999,4425900.0
2000-10-01,119.48600000000002,120.922,116.024,117.598,6272160.0
2000-10-08,113.93400000000001,116.90799999999999,111.098,114.38600000000001,8788140.0
2000-10-15,112.574,114.848,108.31199999999998,111.398,7617100.0
2000-10-22,102.66199999999999,104.172,98.85,102.15,14741360.0
2000-10-29,91.85,93.374,89.362,91.662,9758080.0
2000-11-05,97.438,99.534,95.836,98.486,7949280.0
2000-11-12,99.872,101.598,97.614,99.012,6543140.0
2000-11-19,97.624,100.312,96.848,99.3,5890640.0
2000-11-26,100.655,102.545,99.2325,100.0475,5660475.0
2000-12-03,97.876,100.0,95.824,97.048,6473280.0
