Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,PE Ratio,Earnings Yield,EBIT,Assets,Liabilities,ROIC
BRK.A,Berkshire Hathaway Inc.,1017492275200,703300.00,-0.09%,Insurance - Diversified,9.53,10.50%,137632000000,1147251000000,515445000000,14.64%
BRK.B,Berkshire Hathaway Inc.,1011022495744,468.83,-0.01%,Insurance - Diversified,9.54,10.57%,137632000000,1147251000000,515445000000,14.64%
AAPL,Apple Inc.,3454262616000,229.00,0.32%,Consumer Electronics,37.59,2.71%,123485000000,364980000000,308030000000,57.18%
MSFT,Microsoft Corporation,3069638905600,415.49,-0.55%,Software - Infrastructure,34.07,2.95%,113764000000,523013000000,235290000000,26.46%
GOOG,Alphabet Inc.,2062036564433,177.33,-1.25%,Internet Content & Information,22.42,4.57%,112268000000,430266000000,116147000000,26.17%
GOOGL,Alphabet Inc.,2059562615309,175.98,-1.20%,Internet Content & Information,22.23,4.58%,112268000000,430266000000,116147000000,26.17%
NVDA,NVIDIA Corporation,3597815100000,145.89,-0.76%,Semiconductors,57.74,1.75%,73164000000,96013000000,30114000000,81.01%
META,"Meta Platforms, Inc.",1421239640316,565.52,0.79%,Internet Content & Information,26.55,3.91%,63918000000,256408000000,91879000000,25.39%
AMZN,"Amazon.com, Inc.",2085965700000,202.88,-0.85%,Internet Retail,42.39,2.39%,62419000000,584626000000,325475000000,12.82%
XOM,Exxon Mobil Corporation,535893323700,120.32,1.42%,Oil & Gas Integrated,15.18,6.29%,49236000000,461916000000,185516000000,11.37%
TM,Toyota Motor Corporation,227990969209,172.91,-1.41%,Auto Manufacturers,7.79,13.14%,40618574088,578416694235,349651552598,4.99%
TSM,Taiwan Semiconductor Manufacturing Company Limited,833218790239,188.36,-0.69%,Semiconductors,29.82,3.99%,38356682380,189594135847,65919929552,19.83%
PBR.A,Petróleo Brasileiro S.A. - Petrobras,88906358784,13.15,0.46%,Oil & Gas Integrated,5.09,27.99%,6742970161,37332014791,23749591538,19.00%
PBR,Petróleo Brasileiro S.A. - Petrobras,87707778472,14.28,0.49%,Oil & Gas Integrated,3.70,28.37%,6742970161,37332014791,23749591538,19.00%
UNH,UnitedHealth Group Incorporated,549860487160,600.50,4.07%,Healthcare Plans,38.87,2.60%,23056000000,299309000000,194854000000,13.83%
SHEL,Shell plc,206620913550,65.43,-0.58%,Oil & Gas Integrated,11.63,9.37%,37023000000,406270000000,217908000000,8.32%
VZ,Verizon Communications Inc.,178909275000,42.22,0.69%,Telecom Services,18.40,5.48%,20732000000,381164000000,283496000000,5.60%
EQNR,Equinor ASA,68059428536,24.55,3.72%,Oil & Gas Integrated,6.33,17.46%,39525000000,143580000000,95080000000,13.98%
WMT,Walmart Inc.,710500917500,87.18,0.67%,Discount Stores,46.04,2.19%,23664000000,254440000000,163875000000,14.42%
T,AT&T Inc.,164888164200,22.83,0.44%,Telecom Services,18.68,5.37%,19779000000,393719000000,277437000000,5.34%
TTE,TotalEnergies SE,136900994609,60.52,-0.31%,Oil & Gas Integrated,7.65,13.73%,33074000000,284005000000,165389000000,10.89%
