Symbol,Company Name,Industry,Market Cap,EBIT,Earnings Yield,Assets,Liabilities
BSLK,"Bolt Projects Holdings, Inc.",Shell Companies,8918683,,,,
ULY,Urgent.ly Inc.,Software - Application,6511732,108698000,1419.81%,59856000,83364000
INBX,"Inhibrx Biosciences, Inc.",Biotechnology,203241692,,,222562000,44095000
XHG,XChange TEC.INC,Real Estate Services,383254,51266468,13025.81%,185354075,216371420
TANH,Tantech Holdings Ltd,Household & Personal Products,1314977,8368421,424.56%,141686597,18681365
ANTE,AirNet Technology Inc.,Advertising Agencies,6751865,23298000,344.29%,96365000,85089000
XIN,"Xinyuan Real Estate Co., Ltd.",Real Estate - Development,19704017,11579130,-548.17%,721732724,714059686
SBET,"SharpLink Gaming, Inc.",Gambling,2363463,-8864783,-410.97%,84728480,89192397
PSHG,Performance Shipping Inc.,Marine Shipping,23000813,49781000,248.47%,320829000,54836000
LAAC,Lithium Americas (Argentina) Corp.,Other Industrial Metals & Mining,516461000,1276466000,242.40%,1121763000,228143000
CTRM,Castor Maritime Inc.,Marine Shipping,33335108,77032247,208.63%,563213185,7422891
RGS,Regis Corporation,Personal Services,43479720,113856000,204.72%,508931000,452533000
CNFR,"Conifer Holdings, Inc.",Insurance - Property & Casualty,14666258,33759000,200.94%,299852000,250801000
NXTT,Next Technology Holding Inc.,Software - Application,13952820,22218843,139.20%,79433755,5357581
SMX,SMX (Security Matters) Public Limited Company,Specialty Business Services,2223158,9761000,51.01%,50559000,20200000
AMTD,AMTD IDEA Group,Asset Management,1055209778,138750000,12.74%,1486590000,193016000
VCIG,VCI Global Limited,Consulting Services,7480000,8175546,104.91%,12702409,1475854
OMEX,"Odyssey Marine Exploration, Inc.",Other Industrial Metals & Mining,8689987,-2999403,-40.97%,21758228,98480151
GMM,Global Mofy AI Limited,Information Technology Services,7938494,19901320,205.89%,49727483,10769880
MSGM,Motorsport Games Inc.,Electronic Gaming & Multimedia,4194242,4651663,106.39%,6973368,4802457
PAVM,PAVmed Inc.,Medical Devices,11400658,24382000,129.07%,30550000,39937000
CHR,"Cheer Holding, Inc.",Advertising Agencies,26742560,33621000,127.68%,333241000,47093000
BYU,"BAIYU Holdings, Inc.",Shell Companies,8940191,16735398,119.68%,513760496,80248656
TORO,Toro Corp.,Marine Shipping,52508096,48303728,91.41%,325444981,5302066
SITC,SITE Centers Corp.,REIT - Retail,845174824,808126000,85.53%,3127098000,475172000
PROC,Procaps Group S.A.,Drug Manufacturers - Specialty & Generic,64478916,58115000,80.96%,498554000,460100000
INVE,"Identiv, Inc.",Building Products & Equipment,93152280,74117000,78.98%,177029000,20289000
PXS,Pyxis Tankers Inc.,Oil & Gas Midstream,44357130,40522000,74.92%,198587000,93700000
MTC,"MMTec, Inc.",Software - Application,64602638,49704493,75.78%,156987220,34622814
CNDT,Conduent Incorporated,Information Technology Services,574005100,673000000,77.35%,2841000000,1818000000
TAOP,Taoping Inc.,Software - Infrastructure,1571613,2348074,108.16%,34079694,18241825
ADXN,Addex Therapeutics Ltd,Biotechnology,12280682,5075324,39.06%,15500945,1183624
NCSM,"NCS Multistage Holdings, Inc.",Oil & Gas Equipment & Services,60067440,44000000,71.19%,145843000,31733000
STG,Sunlands Technology Group,Education & Training Services,94472620,69952381,70.25%,302108489,235577778
FOA,Finance of America Companies Inc.,Credit Services,194855428,141708000,69.76%,28950384000,28493928000
YRD,Yiren Digital Ltd.,Credit Services,424537932,343954313,65.57%,1630885990,393632298
SQNS,Sequans Communications S.A.,Semiconductors,69730105,74513000,60.58%,222119000,164675000
XYF,X Financial,Credit Services,307508631,214633552,58.88%,1653648591,734759242
ROIV,Roivant Sciences Ltd.,Biotechnology,8364145500,4882028000,57.51%,6206028000,625986000
STHO,Star Holdings,Real Estate Services,148912591,97342000,55.02%,696537000,247916000
MHUA,"Meihua International Medical Technologies Co., Ltd.",Medical Instruments & Supplies,16934874,12099644,54.80%,179162816,29590466
KPRX,"Kiora Pharmaceuticals, Inc.",Biotechnology,10262702,5651080,54.08%,38509354,8479302
AIRJ,AirJoule Technologies Corporation,Building Products & Equipment,459369247,310262797,49.43%,374393453,108692116
JFIN,Jiayin Group Inc.,Internet Content & Information,307432439,195859213,53.89%,764117598,384819876
SEED,Origin Agritech Limited,Agricultural Inputs,15184398,7795169,50.12%,32920083,44136094
FAMI,"Farmmi, Inc.",Packaged Foods,3198361,3202913,49.85%,171910688,7555725
TKLF,"Tokyo Lifestyle Co., Ltd.",Specialty Retail,14988171,9546851,49.90%,141997159,105954375
GRRR,Gorilla Technology Group Inc.,Software - Infrastructure,43556633,26886793,51.37%,133113364,61057682
CMBT,Cmb.Tech NV,Oil & Gas Midstream,2379159745,1354029000,49.78%,3624185000,2522286000
NISN,"Nisun International Enterprise Development Group Co., Ltd",Specialty Business Services,34551360,22209062,47.93%,268833505,60006260
ZIM,ZIM Integrated Shipping Services Ltd.,Marine Shipping,3250788550,-1580300000,-60.27%,9708400000,6816900000
CVGI,"Commercial Vehicle Group, Inc.",Auto Parts,82451654,21600000,41.40%,495341000,316076000
BON,Bon Natural Life Limited,Specialty Chemicals,5839500,3252072,42.22%,50079925,12762083
IMPP,Imperial Petroleum Inc.,Oil & Gas Midstream,104644230,54781823,52.33%,412451564,13646667
JXJT,JX Luxventure Limited,Apparel Manufacturing,7457724,3048966,40.81%,21918401,6763706
USEA,United Maritime Corporation,Marine Shipping,18762566,15805000,39.70%,171403000,107192000
SHMD,SCHMID Group N.V.,Specialty Industrial Machinery,102919203,52328738,35.82%,112135865,130906539
MI,NFT Limited,Internet Retail,2050525,4763726,230.31%,86802572,12035510
VTLE,"Vital Energy, Inc.",Oil & Gas Exploration & Production,1240732308,731464000,37.57%,6251011000,3195170000
STLA,Stellantis N.V.,Auto Manufacturers,37051687764,16220362094,38.59%,217666590915,131052782197
GSL,"Global Ship Lease, Inc.",Rental & Leasing Services,822615800,372641000,38.73%,2238005000,850625000
ESEA,Euroseas Ltd.,Marine Shipping,296674434,125865074,39.66%,547535762,227915416
SLI,Standard Lithium Ltd.,Other Industrial Metals & Mining,305984640,187251000,49.79%,278598000,33340000
QSG,QuantaSing Group Limited,Education & Training Services,143396444,57563141,268.85%,196917713,125596890
REI,"Ring Energy, Inc.",Oil & Gas Exploration & Production,305221840,184012735,36.93%,1399765010,548454867
GTN,"Gray Television, Inc.",Broadcasting,382371145,743000000,37.92%,10631000000,7851000000
CVU,"CPI Aerostructures, Inc.",Aerospace & Defense,47322548,6201968,36.11%,68887763,43948403
TGI,"Triumph Group, Inc.",Aerospace & Defense,1483578754,635125000,35.70%,1511465000,1606651000
OGN,Organon & Co.,Drug Manufacturers - General,3793549470,1299000000,34.30%,12752000000,12259000000
